Credit Score,Finance Type,LTV,Average Gross Revenue Binding
468,Purchase,1.196242991,1396.83
479,Purchase,1.2211507,2536.34
482,Purchase,1.084449315,2048.5
483,Purchase,1.279261,1161.93
495,Purchase,1.229868545,1755.205
498,Purchase,1.392953945,2658.666667
499,Purchase,1.39222807,2658.666667
499,Purchase,1.253418638,1755.205
500,Purchase,1.393736018,2658.666667
503,Purchase,1.075609977,1559.64
504,Purchase,1.18170543,2455.69
505,Purchase,1.062136791,1559.64
506,Purchase,1.134485068,2455.69
507,Purchase,0.917549644,531.44
507,Purchase,1.039677885,1559.64
512,Purchase,1.301509677,2210.51
514,Purchase,0.754058888,388.3
518,Purchase,1.127514428,613.3
525,Purchase,1.387405645,2189.09
525,Purchase,1.156814965,1296.686
525,Purchase,1.148707965,1296.686
527,Purchase,1.117509653,1296.686
528,Purchase,0.680195165,321.36
529,Purchase,1.135062667,1296.686
530,Purchase,1.118288089,1296.686
530,Purchase,1.212438165,1240.485
530,Purchase,1.294678832,1240.485
531,Purchase,1.359398131,2244.58
533,Refi,1.123652805,1202
535,Purchase,1.172631409,2051.5
535,Purchase,1.19585381,2051.5
535,Purchase,1.067708626,2926.57
538,Purchase,1.416668976,3095.46
542,Purchase,1.027642773,2075.388571
543,Purchase,1.072055746,2075.388571
543,Purchase,1.315699758,1207.055
544,Purchase,1.082668547,2075.388571
544,Purchase,1.06350559,2075.388571
544,Purchase,1.171354044,2267.46
544,Purchase,1.427877778,2381.17
545,Purchase,1.05153757,2075.388571
546,Purchase,1.035405556,2075.388571
546,Purchase,1.013694024,2075.388571
547,Purchase,1.327644647,1207.055
548,Purchase,1.1422,2267.46
548,Refi,1.181271778,706.32
549,Purchase,1.291591642,1004.72
550,Purchase,0.415409955,404.99
551,Purchase,1.268930534,2335.8
551,Purchase,1.073946726,2307.23
551,Purchase,1.170498,1930.92
552,Refi,0.953895294,753.6666667
552,Purchase,1.16606935,1930.92
552,Purchase,0.683136228,906.45
553,Purchase,1.057799057,2307.23
554,Purchase,0.916284806,1584.9025
555,Refi,1.411960618,934
555,Purchase,0.996914815,1584.9025
557,Purchase,0.984474248,1584.9025
557,Refi,1.164472679,400
557,Refi,0.956467281,753.6666667
557,Purchase,1.486719395,2513.21
557,Purchase,0.96120625,1584.9025
559,Refi,0.944074074,753.6666667
559,Purchase,1.305730742,2335.8
559,Purchase,1.174882645,1930.92
560,Purchase,1.089613058,2307.23
560,Refi,0.818442023,1038.63
560,Purchase,1.019148673,2307.23
560,Purchase,1.323141667,1728.66
560,Purchase,1.165389419,1930.92
561,Refi,1.168902018,1248.18875
561,Refi,1.088535579,913.805
561,Purchase,0.941702439,506.79
561,Purchase,1.169554318,1915.4675
561,Refi,1.094372998,913.805
562,Purchase,1.321240748,2454.46
562,Refi,0.967843862,699
563,Refi,1.385230321,1319.226667
563,Purchase,0.90686326,479.15
563,Purchase,1.030108722,1365.813333
564,Refi,1.238071523,1195.886
564,Purchase,1.144590625,1915.4675
564,Purchase,1.258475077,436.08
565,Refi,1.081313559,913.805
565,Refi,1.360526878,1319.226667
565,Refi,1.149526852,1248.18875
565,Purchase,1.068609982,1365.813333
565,Purchase,1.026844218,1365.813333
565,Purchase,0.484442308,1394.18
565,Purchase,1.403816173,2454.46
566,Refi,1.134157702,1248.18875
566,Purchase,0.563172537,523.55
567,Refi,1.262054601,1195.886
567,Refi,1.356350136,1319.226667
567,Refi,1.225183902,1195.886
567,Refi,1.48138401,2076.695
567,Refi,1.239010556,1195.886
568,Refi,1.165728627,1248.18875
568,Refi,1.432780198,2076.695
569,Purchase,1.192634343,1915.4675
569,Refi,1.359091613,1319.226667
569,Refi,1.273332576,1195.886
569,Refi,1.195675092,1248.18875
569,Refi,1.121145038,1248.18875
570,Refi,1.169166516,1248.18875
570,Purchase,1.426415094,2127.74
570,Refi,1.353857175,1319.226667
570,Refi,1.337755203,1319.226667
570,Refi,1.08438465,913.805
570,Refi,1.158647516,1248.18875
