Partner,Credit Score,Finance Type,LTV,Average Gross Revenue Binding
Wheels,468,Purchase,1.196242991,1396.83
Chrysler Capital Lease,479,Purchase,1.2211507,2536.34
Donlen,482,Purchase,1.084449315,2048.5
HCA - Hyundai Kia,483,Purchase,1.279261,1161.93
Chrysler Capital Lease,495,Purchase,1.229868545,1755.205
IFS,498,Purchase,1.392953945,2658.666667
Chrysler Capital Lease,499,Purchase,1.39222807,2658.666667
HCA - Hyundai Kia,499,Purchase,1.253418638,1755.205
HCA - Hyundai Kia,500,Purchase,1.393736018,2658.666667
Lending Tree Lease,503,Purchase,1.075609977,1559.64
CarGurus - Avis,504,Purchase,1.18170543,2455.69
Donlen,505,Purchase,1.062136791,1559.64
Element,506,Purchase,1.134485068,2455.69
Chrysler Capital Lease,507,Purchase,0.917549644,531.44
Donlen,507,Purchase,1.039677885,1559.64
AVIS,512,Purchase,1.301509677,2210.51
NerdWallet,514,Purchase,0.754058888,388.3
IFS,518,Purchase,1.127514428,613.3
Chrysler Capital Lease,525,Purchase,1.387405645,2189.09
Lending Tree Lease,525,Purchase,1.156814965,1296.686
LeasePlan,525,Purchase,1.148707965,1296.686
HCA - Hyundai Kia,527,Purchase,1.117509653,1296.686
HCA - Hyundai Kia,528,Purchase,0.680195165,321.36
HCA - Hyundai Kia,529,Purchase,1.135062667,1296.686
Donlen,530,Purchase,1.118288089,1296.686
Chrysler Capital Lease,530,Purchase,1.212438165,1240.485
Fiserv GM Lease ,530,Purchase,1.294678832,1240.485
Chrysler Capital Lease,531,Purchase,1.359398131,2244.58
Credit Karma,533,Refi,1.123652805,1202
Chrysler Capital Lease,535,Purchase,1.172631409,2051.5
Chrysler Capital Lease,535,Purchase,1.19585381,2051.5
Chrysler Capital Lease,535,Purchase,1.067708626,2926.57
Chrysler Capital Lease,538,Purchase,1.416668976,3095.46
Chrysler Capital Lease,542,Purchase,1.027642773,2075.388571
Wheels,543,Purchase,1.072055746,2075.388571
HCA - Hyundai Kia,543,Purchase,1.315699758,1207.055
Enterprise Fleet Management,544,Purchase,1.082668547,2075.388571
HCA - Hyundai Kia,544,Purchase,1.06350559,2075.388571
Chrysler Capital Lease,544,Purchase,1.171354044,2267.46
IFS Marketing Organic Lease,544,Purchase,1.427877778,2381.17
Fiserv GM Lease ,545,Purchase,1.05153757,2075.388571
AVIS,546,Purchase,1.035405556,2075.388571
Chrysler Capital Lease,546,Purchase,1.013694024,2075.388571
HCA - Hyundai Kia,547,Purchase,1.327644647,1207.055
AVIS,548,Purchase,1.1422,2267.46
NerdWallet,548,Refi,1.181271778,706.32
IFS,549,Purchase,1.291591642,1004.72
AVIS,550,Purchase,0.415409955,404.99
Fiserv GM Lease ,551,Purchase,1.268930534,2335.8
Wheels,551,Purchase,1.073946726,2307.23
HCA - Hyundai Kia,551,Purchase,1.170498,1930.92
Credit Karma,552,Refi,0.953895294,753.6666667
Chrysler Capital Lease,552,Purchase,1.16606935,1930.92
Donlen,552,Purchase,0.683136228,906.45
IFS,553,Purchase,1.057799057,2307.23
Chrysler Capital Lease,554,Purchase,0.916284806,1584.9025
Credit Karma,555,Refi,1.411960618,934
Fiserv GM Lease ,555,Purchase,0.996914815,1584.9025
Chrysler Capital Lease,557,Purchase,0.984474248,1584.9025
Credit Karma,557,Refi,1.164472679,400
Credit Karma,557,Refi,0.956467281,753.6666667
Lending Tree Lease,557,Purchase,1.486719395,2513.21
Donlen,557,Purchase,0.96120625,1584.9025
Credit Karma,559,Refi,0.944074074,753.6666667
AVIS,559,Purchase,1.305730742,2335.8
Wheels,559,Purchase,1.174882645,1930.92
Element,560,Purchase,1.089613058,2307.23
Credit Karma,560,Refi,0.818442023,1038.63
LeasePlan,560,Purchase,1.019148673,2307.23
Element,560,Purchase,1.323141667,1728.66
AVIS,560,Purchase,1.165389419,1930.92
Credit Karma,561,Refi,1.168902018,1248.18875
Credit Karma,561,Refi,1.088535579,913.805
Element,561,Purchase,0.941702439,506.79
HCA - Hyundai Kia,561,Purchase,1.169554318,1915.4675
Credit Karma,561,Refi,1.094372998,913.805
HCA - Hyundai Kia,562,Purchase,1.321240748,2454.46
NerdWallet,562,Refi,0.967843862,699
Credit Karma,563,Refi,1.385230321,1319.226667
HCA - Hyundai Kia,563,Purchase,0.90686326,479.15
Chrysler Capital Lease,563,Purchase,1.030108722,1365.813333
Credit Karma,564,Refi,1.238071523,1195.886
Chrysler Capital Lease,564,Purchase,1.144590625,1915.4675
HCA - Hyundai Kia,564,Purchase,1.258475077,436.08
IFS,565,Refi,1.081313559,913.805
Credit Karma,565,Refi,1.360526878,1319.226667
Credit Karma,565,Refi,1.149526852,1248.18875
Chrysler Capital Lease,565,Purchase,1.068609982,1365.813333
Lending Tree Lease,565,Purchase,1.026844218,1365.813333
AVIS,565,Purchase,0.484442308,1394.18
Chrysler Capital Lease,565,Purchase,1.403816173,2454.46
Credit Karma,566,Refi,1.134157702,1248.18875
Wheels,566,Purchase,0.563172537,523.55
Credit Karma,567,Refi,1.262054601,1195.886
Credit Karma,567,Refi,1.356350136,1319.226667
Credit Karma,567,Refi,1.225183902,1195.886
Credit Karma,567,Refi,1.48138401,2076.695
Credit Karma,567,Refi,1.239010556,1195.886
Credit Karma,568,Refi,1.165728627,1248.18875
Credit Karma,568,Refi,1.432780198,2076.695
AVIS,569,Purchase,1.192634343,1915.4675
Credit Karma,569,Refi,1.359091613,1319.226667
Credit Karma,569,Refi,1.273332576,1195.886
Credit Karma,569,Refi,1.195675092,1248.18875
Credit Karma,569,Refi,1.121145038,1248.18875
IFS Marketing Organic,570,Refi,1.169166516,1248.18875
Avis Rental,570,Purchase,1.426415094,2127.74
Credit Karma,570,Refi,1.353857175,1319.226667
NerdWallet,570,Refi,1.337755203,1319.226667
Natural Intelligence - Top 10 ,570,Refi,1.08438465,913.805
NerdWallet,570,Refi,1.158647516,1248.18875
HCA - Hyundai Kia,570,Purchase,1.411161798,2127.74
TrueCar - AVIS,570,Purchase,1.155930051,1915.4675
Element,571,Purchase,1.128948995,2464.95
Credit Karma,571,Refi,1.002848057,1431.243333
Credit Karma,571,Refi,1.407791005,1194.553333
Chrysler Capital Lease,572,Purchase,1.124608425,2464.95
Credit Karma,572,Refi,0.906998693,1364.195
Credit Karma,572,Refi,1.312499783,1194.553333
Fiserv GM Lease ,572,Purchase,1.380406847,2353.64
Chrysler Capital Lease,572,Purchase,1.302585545,2198.2575
Chrysler Capital Lease,572,Purchase,1.387903245,2353.64
Credit Karma,572,Refi,1.554958382,1132
Credit Karma,572,Refi,1.431311009,1233.015
Chrysler Capital Lease,573,Purchase,1.305286364,2198.2575
Emkay,573,Purchase,1.274478702,2198.2575
MyAutoLoan Lease,573,Purchase,1.215612739,2198.2575
NerdWallet,573,Refi,0.771207163,759.27
CarGurus - Avis,573,Purchase,1.302236907,2198.2575
IFS,574,Refi,1.262500444,1107.154286
Credit Karma,574,Refi,1.09650542,1161.985556
Credit Karma,574,Refi,1.236750077,1107.154286
