Credit Score,Finance Type,LTV,Loans Booked,
468,Purchase,1.20,1,
473,Purchase,1.06,2,
474,Purchase,1.11,1,
477,Purchase,1.10,2,
479,Purchase,1.22,1,
482,Purchase,1.08,1,
483,Purchase,1.28,1,
492,Purchase,1.23,5,
495,Purchase,1.23,5,
498,Purchase,1.39,3,
499,Purchase,1.25,5,
499,Purchase,1.31,5,
499,Purchase,1.39,3,
500,Purchase,1.25,5,
500,Purchase,1.39,3,
503,Purchase,1.08,3,
504,Purchase,1.18,2,
505,Purchase,1.06,3,
506,Purchase,1.13,2,
507,Purchase,0.92,1,
507,Purchase,1.04,3,
508,Refi,1.38,1,
510,Purchase,1.23,1,
511,Purchase,0.56,1,
511,Purchase,1.14,2,
512,Purchase,1.30,1,
512,Purchase,1.50,1,
514,Purchase,0.75,1,
516,Purchase,1.04,1,
518,Refi,1.33,1,
518,Purchase,1.13,2,
522,Purchase,1.53,1,
525,Purchase,1.15,8,
525,Purchase,1.16,8,
525,Purchase,1.39,2,
527,Purchase,1.12,8,
528,Purchase,0.68,1,
528,Purchase,1.13,8,
529,Purchase,1.14,8,
529,Purchase,1.19,8,
529,Purchase,1.38,2,
530,Purchase,1.06,1,
530,Purchase,1.12,8,
530,Purchase,1.15,8,
530,Purchase,1.21,2,
530,Purchase,1.29,2,
531,Purchase,1.36,1,
533,Refi,1.11,1,
533,Refi,1.12,1,
534,Purchase,1.10,3,
534,Purchase,1.43,2,
535,Purchase,1.07,3,
535,Purchase,1.16,3,
535,Purchase,1.17,3,
535,Purchase,1.20,3,
536,Purchase,1.07,3,
538,Purchase,1.29,1,
538,Purchase,1.42,2,
540,Refi,1.38,1,
541,Purchase,1.48,3,
542,Purchase,0.51,2,
542,Purchase,1.03,7,
543,Purchase,0.98,2,
543,Purchase,1.07,7,
543,Purchase,1.32,3,
543,Purchase,1.47,3,
544,Purchase,1.06,7,
544,Purchase,1.08,7,
544,Purchase,1.17,3,
544,Purchase,1.43,3,
545,Purchase,1.05,7,
546,Refi,0.70,1,
546,Purchase,1.01,7,
546,Purchase,1.04,7,
546,Purchase,1.25,2,
547,Purchase,1.33,3,
547,Purchase,1.33,3,
548,Refi,1.18,1,
548,Purchase,0.79,1,
548,Purchase,1.14,3,
548,Purchase,1.14,3,
549,Purchase,1.00,2,
549,Purchase,1.29,2,
550,Purchase,0.42,1,
550,Refi,1.28,1,
550,Purchase,0.54,1,
551,Refi,1.28,3,
551,Purchase,1.07,7,
551,Purchase,1.17,6,
551,Purchase,1.27,3,
552,Refi,0.95,3,
552,Refi,1.11,5,
552,Refi,1.52,1,
552,Purchase,0.68,1,
552,Purchase,0.99,5,
552,Purchase,1.10,7,
552,Purchase,1.10,7,
552,Purchase,1.13,6,
552,Purchase,1.17,6,
553,Refi,1.20,5,
553,Refi,1.39,4,
553,Refi,1.45,3,
553,Purchase,1.06,7,
553,Purchase,1.14,6,
554,Purchase,0.92,5,
554,Purchase,1.25,3,
555,Refi,1.16,5,
555,Refi,1.41,3,
555,Purchase,1.00,5,
556,Purchase,1.08,7,
557,Refi,0.96,3,
557,Refi,1.16,5,
557,Refi,1.28,3,
557,Refi,1.32,4,
557,Purchase,0.96,5,
557,Purchase,0.98,5,
557,Purchase,1.49,1,
558,Refi,1.35,4,
559,Refi,0.94,3,
559,Refi,1.16,5,
559,Purchase,1.17,6,
559,Purchase,1.31,3,
560,Refi,0.82,1,
560,Refi,1.24,3,
560,Refi,1.37,4,
560,Refi,1.43,3,
560,Purchase,1.02,7,
560,Purchase,1.09,7,
560,Purchase,1.17,6,
560,Purchase,1.32,1,
561,Refi,1.09,11,
561,Refi,1.09,11,
561,Refi,1.17,14,
561,Refi,1.30,9,
561,Purchase,0.94,3,
561,Purchase,1.17,7,
561,Purchase,1.32,6,
562,Refi,0.97,7,
562,Refi,1.00,7,
562,Refi,1.20,14,
562,Refi,1.32,11,
562,Refi,1.39,11,
562,Purchase,0.99,3,
562,Purchase,1.07,7,
562,Purchase,1.09,7,
562,Purchase,1.32,6,
563,Refi,1.28,9,
563,Refi,1.39,11,
563,Purchase,0.91,1,
563,Purchase,0.95,3,
563,Purchase,1.03,7,
563,Purchase,1.03,7,
563,Purchase,1.45,3,
564,Refi,0.91,1,
564,Refi,0.93,7,
564,Refi,1.16,14,
564,Refi,1.16,14,
564,Refi,1.24,9,
564,Refi,1.24,9,
564,Refi,1.33,11,
564,Purchase,1.07,7,
564,Purchase,1.14,7,
564,Purchase,1.26,3,
564,Purchase,1.38,6,
565,Purchase,0.40,1,
565,Purchase,0.48,3,
565,Purchase,0.57,2,
565,Refi,1.07,11,
565,Refi,1.08,11,
565,Refi,1.10,11,
565,Refi,1.15,14,
565,Refi,1.36,11,
565,Purchase,1.03,7,
565,Purchase,1.07,7,
565,Purchase,1.40,6,
566,Purchase,0.56,2,
566,Refi,1.07,11,
566,Refi,1.13,14,
566,Refi,1.39,11,
566,Purchase,1.13,7,
566,Purchase,1.16,7,
567,Refi,0.92,7,
