Credit Score,Finance Type,LTV,Binded GAP
468,Purchase,1.196,0
473,Purchase,1.063,1
474,Purchase,1.114,1
477,Purchase,1.096,1
479,Purchase,1.221,1
482,Purchase,1.084,1
483,Purchase,1.279,1
492,Purchase,1.230,0.8
495,Purchase,1.230,0.8
498,Purchase,1.393,1
499,Purchase,1.253,0.8
499,Purchase,1.307,0.8
499,Purchase,1.392,1
500,Purchase,1.394,1
500,Purchase,1.252,0
503,Purchase,1.076,0.67
504,Purchase,1.182,1
505,Purchase,1.062,0.67
506,Purchase,1.134,1
507,Purchase,0.918,0
507,Purchase,1.040,0
508,Refi,1.383,1
510,Purchase,1.228,1
511,Purchase,0.559,0
511,Purchase,1.139,0.5
512,Purchase,1.302,1
512,Purchase,1.505,1
514,Purchase,0.754,0
516,Purchase,1.038,0
518,Refi,1.330,1
518,Purchase,1.128,0
522,Purchase,1.531,1
525,Purchase,1.149,0.75
525,Purchase,1.157,0.75
525,Purchase,1.387,0
527,Purchase,1.118,0.75
528,Purchase,0.680,0
528,Purchase,1.127,0
529,Purchase,1.135,0.75
529,Purchase,1.376,0.5
529,Purchase,1.189,0.75
530,Purchase,1.060,0
530,Purchase,1.212,1
530,Purchase,1.295,1
530,Purchase,1.118,0.75
530,Purchase,1.152,0
531,Purchase,1.359,1
533,Refi,1.108,1
533,Refi,1.124,1
534,Purchase,1.426,1
534,Purchase,1.104,1
535,Purchase,1.068,1
535,Purchase,1.162,0
535,Purchase,1.173,0.67
535,Purchase,1.196,0.67
536,Purchase,1.066,1
538,Purchase,1.288,1
538,Purchase,1.417,1
540,Refi,1.380,1
541,Purchase,1.482,1
542,Purchase,1.028,0.71
542,Purchase,0.505,0
543,Purchase,1.316,1
543,Purchase,1.467,1
543,Purchase,0.981,1
543,Purchase,1.072,0.71
544,Purchase,1.428,1
544,Purchase,1.064,0.71
544,Purchase,1.083,0.71
544,Purchase,1.171,0.67
545,Purchase,1.052,0.71
546,Refi,0.703,1
546,Purchase,1.253,0
546,Purchase,1.014,0
546,Purchase,1.035,0
547,Purchase,1.326,1
547,Purchase,1.328,1
548,Purchase,0.793,1
548,Refi,1.181,1
548,Purchase,1.141,0.67
548,Purchase,1.142,0
549,Purchase,0.999,1
549,Purchase,1.292,0.5
550,Purchase,0.415,0.5
550,Refi,1.281,0
550,Purchase,0.545,0
551,Purchase,1.269,0
551,Purchase,1.170,0.67
551,Refi,1.279,0
551,Purchase,1.074,1
552,Refi,1.518,0
552,Purchase,0.683,1
552,Refi,1.114,0.8
552,Purchase,1.129,0.67
552,Refi,0.954,1
552,Purchase,0.989,0
552,Purchase,1.166,0
552,Purchase,1.095,1
552,Purchase,1.099,1
553,Purchase,1.143,0.67
553,Refi,1.450,1
553,Refi,1.389,0
553,Refi,1.197,0.8
553,Purchase,1.058,1
554,Purchase,1.246,0
554,Purchase,0.916,0.6
555,Purchase,0.997,0.6
555,Refi,1.412,1
555,Refi,1.165,0.8
556,Purchase,1.076,1
557,Purchase,1.487,0
557,Purchase,0.984,0.6
557,Refi,0.956,1
557,Refi,1.280,0
557,Refi,1.322,0
557,Refi,1.164,0.8
557,Purchase,0.961,0
558,Refi,1.348,0.5
559,Purchase,1.306,0
559,Purchase,1.175,0.67
559,Refi,0.944,1
559,Refi,1.160,0
560,Refi,0.818,1
560,Purchase,1.323,0
560,Refi,1.430,1
560,Purchase,1.165,0
560,Refi,1.238,0.33
560,Refi,1.371,0.5
560,Purchase,1.019,1
560,Purchase,1.090,1
561,Purchase,1.170,0.71
561,Purchase,0.942,0
561,Purchase,1.319,0.67
561,Refi,1.299,0.89
561,Refi,1.089,0.73
561,Refi,1.094,0.73
561,Refi,1.169,0.86
562,Purchase,1.089,0.43
562,Refi,1.386,0.36
562,Purchase,0.989,0
562,Purchase,1.321,0
562,Refi,0.968,0.71
562,Refi,0.996,0.71
562,Purchase,1.073,0
562,Refi,1.316,0.36
562,Refi,1.203,0.86
563,Purchase,0.907,1
563,Purchase,1.450,0
563,Refi,1.283,0.89
563,Refi,1.385,0
563,Purchase,0.950,0.33
563,Purchase,1.030,0.43
563,Purchase,1.033,0
564,Refi,0.910,1
564,Refi,0.928,0.71
564,Purchase,1.258,0.33
564,Purchase,1.383,0.67
564,Purchase,1.069,0
564,Purchase,1.145,0.71
564,Refi,1.238,0.89
564,Refi,1.239,0.89
564,Refi,1.332,0
564,Refi,1.161,0.86
564,Refi,1.161,0.86
565,Purchase,0.399,0
565,Purchase,0.572,0
565,Purchase,0.484,0
565,Purchase,1.404,0.67
565,Purchase,1.027,0.43
565,Purchase,1.069,0
565,Refi,1.073,0
565,Refi,1.081,0
565,Refi,1.098,0.73
565,Refi,1.361,0
565,Refi,1.150,0.86
566,Purchase,0.563,0.5
566,Refi,1.069,0.73
566,Refi,1.394,0
566,Refi,1.134,0.86
