Credit Score,Finance Type,Trade-in Value,Loan Booked
846,Purchase,29550,7/31/2018 0:00
597,Refi,6775,7/31/2018 0:00
868,Purchase,29400,7/31/2018 0:00
790,Purchase,10800,7/31/2018 0:00
584,Refi,8825,7/31/2018 0:00
674,Refi,13175,7/31/2018 0:00
647,Refi,13250,7/31/2018 0:00
692,Purchase,11200,7/31/2018 0:00
860,Purchase,18075,7/31/2018 0:00
692,Purchase,11950,7/31/2018 0:00
685,Purchase,9875,7/31/2018 0:00
728,Refi,31900,7/31/2018 0:00
619,Refi,10425,7/31/2018 0:00
607,Refi,24775,7/31/2018 0:00
772,Purchase,12650,7/31/2018 0:00
598,Refi,16075,7/31/2018 0:00
664,Refi,23275,7/31/2018 0:00
752,Refi,29900,7/31/2018 0:00
772,Purchase,13950,7/31/2018 0:00
840,Purchase,16225,7/31/2018 0:00
583,Refi,23900,7/31/2018 0:00
701,Refi,20100,7/31/2018 0:00
677,Purchase,4275,7/31/2018 0:00
715,Purchase,13775,7/31/2018 0:00
603,Refi,14725,7/31/2018 0:00
747,Purchase,11425,7/31/2018 0:00
634,Refi,30575,7/31/2018 0:00
705,Refi,11000,7/31/2018 0:00
830,Purchase,22275,7/31/2018 0:00
756,Purchase,42200,7/31/2018 0:00
671,Refi,10100,7/31/2018 0:00
757,Purchase,11000,7/31/2018 0:00
612,Refi,16575,7/31/2018 0:00
621,Refi,18525,7/31/2018 0:00
750,Purchase,16250,7/31/2018 0:00
572,Refi,29600,7/31/2018 0:00
700,Purchase,13975,7/31/2018 0:00
633,Refi,9750,7/31/2018 0:00
769,Purchase,11775,7/31/2018 0:00
647,Refi,18100,7/31/2018 0:00
639,Purchase,8650,7/31/2018 0:00
804,Purchase,10050,7/31/2018 0:00
868,Purchase,10075,7/31/2018 0:00
805,Purchase,15900,7/31/2018 0:00
849,Purchase,15375,7/31/2018 0:00
651,Refi,9325,7/31/2018 0:00
714,Purchase,19875,7/31/2018 0:00
697,Purchase,19600,7/31/2018 0:00
578,Refi,29650,7/31/2018 0:00
687,Refi,11650,7/31/2018 0:00
643,Refi,13475,7/31/2018 0:00
635,Purchase,8425,8/1/2018 0:00
663,Refi,9050,8/1/2018 0:00
795,Purchase,16450,8/1/2018 0:00
774,Purchase,24250,8/1/2018 0:00
834,Purchase,15350,8/1/2018 0:00
620,Refi,9300,8/1/2018 0:00
644,Purchase,9700,8/1/2018 0:00
0,Purchase,20375,8/1/2018 0:00
633,Refi,31500,8/1/2018 0:00
703,Refi,18775,8/1/2018 0:00
563,Purchase,16575,8/1/2018 0:00
646,Refi,20325,8/1/2018 0:00
797,Purchase,22050,8/1/2018 0:00
659,Refi,13350,8/1/2018 0:00
620,Refi,24179,8/1/2018 0:00
794,Purchase,23000,8/1/2018 0:00
757,Purchase,17625,8/1/2018 0:00
755,Purchase,11775,8/1/2018 0:00
648,Refi,21675,8/1/2018 0:00
635,Refi,15275,8/1/2018 0:00
770,Purchase,15950,8/1/2018 0:00
773,Purchase,13000,8/1/2018 0:00
743,Purchase,25400,8/1/2018 0:00
781,Purchase,15400,8/1/2018 0:00
777,Purchase,24125,8/1/2018 0:00
565,Refi,20500,8/1/2018 0:00
668,Refi,5175,8/1/2018 17:28
857,Purchase,12475,8/2/2018 0:00
694,Refi,20125,8/2/2018 0:00
701,Refi,84200,8/2/2018 0:00
636,Purchase,11225,8/2/2018 0:00
684,Refi,7600,8/2/2018 0:00
593,Refi,16025,8/2/2018 0:00
652,Refi,8775,8/2/2018 0:00
578,Refi,16150,8/2/2018 0:00
717,Refi,32000,8/2/2018 0:00
642,Refi,15650,8/2/2018 0:00
830,Purchase,9250,8/2/2018 0:00
717,Purchase,20400,8/2/2018 0:00
835,Purchase,12300,8/2/2018 0:00
758,Purchase,17725,8/2/2018 0:00
785,Purchase,19025,8/2/2018 0:00
849,Purchase,14750,8/2/2018 0:00
853,Purchase,11375,8/2/2018 0:00
721,Purchase,19225,8/2/2018 0:00
626,Purchase,13400,8/2/2018 0:00
594,Refi,13150,8/2/2018 0:00
779,Purchase,14125,8/2/2018 0:00
661,Purchase,11450,8/2/2018 0:00
709,Purchase,8000,8/2/2018 0:00
649,Refi,17200,8/2/2018 0:00
578,Refi,12350,8/2/2018 0:00
725,Purchase,9450,8/2/2018 0:00
735,Purchase,13925,8/2/2018 0:00
579,Purchase,9150,8/2/2018 0:00
563,Purchase,20725,8/2/2018 0:00
789,Purchase,29600,8/2/2018 0:00
657,Purchase,32025,8/2/2018 0:00
859,Purchase,31250,8/3/2018 0:00
625,Refi,8550,8/3/2018 0:00
673,Refi,18775,8/3/2018 0:00
593,Purchase,17775,8/3/2018 0:00
662,Refi,7275,8/3/2018 0:00
753,Purchase,5650,8/3/2018 0:00
709,Refi,15825,8/3/2018 0:00
672,Purchase,18025,8/3/2018 0:00
660,Refi,10850,8/3/2018 0:00
731,Purchase,15675,8/3/2018 0:00
640,Purchase,6188,8/3/2018 0:00
572,Refi,20482,8/3/2018 0:00
660,Refi,8525,8/3/2018 0:00
674,Refi,12725,8/3/2018 0:00
571,Refi,14500,8/3/2018 0:00
706,Purchase,17800,8/3/2018 0:00
634,Purchase,9375,8/3/2018 0:00
736,Refi,21800,8/3/2018 0:00
588,Refi,14464,8/3/2018 0:00
742,Purchase,10925,8/3/2018 0:00
828,Purchase,21100,8/3/2018 0:00
612,Refi,23525,8/3/2018 0:00
580,Refi,27750,8/3/2018 0:00
706,Purchase,15775,8/3/2018 0:00
653,Purchase,18850,8/3/2018 0:00
578,Purchase,14275,8/3/2018 0:00
663,Purchase,15700,8/3/2018 0:00
848,Purchase,27800,8/6/2018 0:00
602,Refi,19100,8/6/2018 0:00
761,Purchase,11700,8/6/2018 0:00
767,Refi,11000,8/6/2018 0:00
611,Refi,9650,8/6/2018 0:00
566,Refi,18050,8/6/2018 0:00
644,Refi,17425,8/6/2018 0:00
636,Refi,11950,8/6/2018 0:00
852,Purchase,21500,8/6/2018 0:00
822,Purchase,23550,8/6/2018 0:00
810,Purchase,18225,8/6/2018 0:00
760,Purchase,17275,8/6/2018 0:00
851,Purchase,12475,8/6/2018 0:00
703,Purchase,9100,8/6/2018 0:00
721,Purchase,27100,8/6/2018 0:00
760,Purchase,21350,8/6/2018 0:00
794,Purchase,17700,8/6/2018 0:00
557,Refi,17325,8/6/2018 0:00
644,Refi,16300,8/6/2018 0:00
743,Purchase,9950,8/6/2018 0:00
821,Purchase,15775,8/6/2018 0:00
655,Refi,10200,8/6/2018 0:00
666,Purchase,16400,8/6/2018 0:00
568,Refi,38000,8/7/2018 0:00
627,Refi,17900,8/7/2018 0:00
678,Refi,32875,8/7/2018 0:00
581,Refi,10200,8/7/2018 0:00
639,Refi,18750,8/7/2018 0:00
859,Purchase,16450,8/7/2018 0:00
671,Refi,18600,8/7/2018 0:00
715,Refi,7700,8/7/2018 0:00
619,Refi,23125,8/7/2018 0:00
777,Purchase,10050,8/7/2018 0:00
720,Refi,26575,8/7/2018 0:00
670,Refi,17150,8/7/2018 0:00
756,Purchase,21175,8/7/2018 0:00
589,Refi,13275,8/7/2018 0:00
715,Refi,11525,8/7/2018 0:00
