Credit Score,Finance Type,LTV,Binded TW
468,Purchase,1.196,0
473,Purchase,1.063,0
474,Purchase,1.114,0
477,Purchase,1.096,0
479,Purchase,1.221,0
482,Purchase,1.084,0
483,Purchase,1.279,0
492,Purchase,1.230,0
495,Purchase,1.230,0
498,Purchase,1.393,0
499,Purchase,1.253,0
499,Purchase,1.307,0
499,Purchase,1.392,0
500,Purchase,1.394,0
500,Purchase,1.252,0
503,Purchase,1.076,0
504,Purchase,1.182,0
505,Purchase,1.062,0
506,Purchase,1.134,0
507,Purchase,0.918,0
507,Purchase,1.040,0.33
508,Refi,1.383,0
510,Purchase,1.228,0
511,Purchase,0.559,0
511,Purchase,1.139,0
512,Purchase,1.302,0
512,Purchase,1.505,0
514,Purchase,0.754,0
516,Purchase,1.038,1
518,Refi,1.330,0
518,Purchase,1.128,0
522,Purchase,1.531,0
525,Purchase,1.149,0
525,Purchase,1.157,0
525,Purchase,1.387,0
527,Purchase,1.118,0
528,Purchase,0.680,0
528,Purchase,1.127,0
529,Purchase,1.135,0
529,Purchase,1.376,0
529,Purchase,1.189,0
530,Purchase,1.060,0
530,Purchase,1.212,0
530,Purchase,1.295,0
530,Purchase,1.118,0
530,Purchase,1.152,0.13
531,Purchase,1.359,0
533,Refi,1.108,0
533,Refi,1.124,0
534,Purchase,1.426,0
534,Purchase,1.104,0
535,Purchase,1.068,0
535,Purchase,1.162,0
535,Purchase,1.173,0.33
535,Purchase,1.196,0
536,Purchase,1.066,0
538,Purchase,1.288,0
538,Purchase,1.417,0
540,Refi,1.380,0
541,Purchase,1.482,0.33
542,Purchase,1.028,0
542,Purchase,0.505,0
543,Purchase,1.316,0
543,Purchase,1.467,0
543,Purchase,0.981,0
543,Purchase,1.072,0
544,Purchase,1.428,0
544,Purchase,1.064,0.14
544,Purchase,1.083,0
544,Purchase,1.171,0
545,Purchase,1.052,0
546,Refi,0.703,0
546,Purchase,1.253,0
546,Purchase,1.014,0
546,Purchase,1.035,0
547,Purchase,1.326,0
547,Purchase,1.328,0.33
548,Purchase,0.793,0
548,Refi,1.181,0
548,Purchase,1.141,0
548,Purchase,1.142,0
549,Purchase,0.999,0
549,Purchase,1.292,0
550,Purchase,0.415,0
550,Refi,1.281,0
550,Purchase,0.545,0
551,Purchase,1.269,0
551,Purchase,1.170,0
551,Refi,1.279,0
551,Purchase,1.074,0
552,Refi,1.518,0
552,Purchase,0.683,0
552,Refi,1.114,0
552,Purchase,1.129,0
552,Refi,0.954,0
552,Purchase,0.989,0
552,Purchase,1.166,0
552,Purchase,1.095,0
552,Purchase,1.099,0
553,Purchase,1.143,0
553,Refi,1.450,0
553,Refi,1.389,0
553,Refi,1.197,0
553,Purchase,1.058,0
554,Purchase,1.246,0
554,Purchase,0.916,0.2
555,Purchase,0.997,0
555,Refi,1.412,0
555,Refi,1.165,0
556,Purchase,1.076,0
557,Purchase,1.487,0
557,Purchase,0.984,0
557,Refi,0.956,0
557,Refi,1.280,0
557,Refi,1.322,0
557,Refi,1.164,0
557,Purchase,0.961,0
558,Refi,1.348,0
559,Purchase,1.306,0
559,Purchase,1.175,0.17
559,Refi,0.944,0
559,Refi,1.160,0
560,Refi,0.818,0
560,Purchase,1.323,0
560,Refi,1.430,0
560,Purchase,1.165,0
560,Refi,1.238,0
560,Refi,1.371,0
560,Purchase,1.019,0
560,Purchase,1.090,0
561,Purchase,1.170,0
561,Purchase,0.942,0
561,Purchase,1.319,0
561,Refi,1.299,0
561,Refi,1.089,0
561,Refi,1.094,0
561,Refi,1.169,0
562,Purchase,1.089,0.14
562,Refi,1.386,0
562,Purchase,0.989,0
562,Purchase,1.321,0
562,Refi,0.968,0
562,Refi,0.996,0
562,Purchase,1.073,0
562,Refi,1.316,0
562,Refi,1.203,0
563,Purchase,0.907,0
563,Purchase,1.450,0
563,Refi,1.283,0
563,Refi,1.385,0.27
563,Purchase,0.950,0
563,Purchase,1.030,0
563,Purchase,1.033,0
564,Refi,0.910,0
564,Refi,0.928,0.14
564,Purchase,1.258,0
564,Purchase,1.383,0
564,Purchase,1.069,0
564,Purchase,1.145,0
564,Refi,1.238,0
564,Refi,1.239,0
564,Refi,1.332,0
564,Refi,1.161,0
564,Refi,1.161,0
565,Purchase,0.399,0
565,Purchase,0.572,0
565,Purchase,0.484,0
565,Purchase,1.404,0
565,Purchase,1.027,0
565,Purchase,1.069,0
565,Refi,1.073,0
565,Refi,1.081,0
565,Refi,1.098,0
565,Refi,1.361,0
565,Refi,1.150,0
