Credit Score,Finance Type,LTV,Total Gross Revenue Binding
468,Purchase,1.196242991,1396.83
479,Purchase,1.2211507,2536.34
482,Purchase,1.084449315,2048.5
483,Purchase,1.279261,1161.93
495,Purchase,1.229868545,3510.41
498,Purchase,1.392953945,7976
499,Purchase,1.39222807,7976
499,Purchase,1.253418638,3510.41
500,Purchase,1.393736018,7976
503,Purchase,1.075609977,4678.92
504,Purchase,1.18170543,4911.38
505,Purchase,1.062136791,4678.92
506,Purchase,1.134485068,4911.38
507,Purchase,0.917549644,531.44
507,Purchase,1.039677885,4678.92
512,Purchase,1.301509677,2210.51
514,Purchase,0.754058888,388.3
518,Purchase,1.127514428,613.3
525,Purchase,1.387405645,2189.09
525,Purchase,1.156814965,6483.43
525,Purchase,1.148707965,6483.43
527,Purchase,1.117509653,6483.43
528,Purchase,0.680195165,321.36
529,Purchase,1.135062667,6483.43
530,Purchase,1.118288089,6483.43
530,Purchase,1.212438165,2480.97
530,Purchase,1.294678832,2480.97
531,Purchase,1.359398131,2244.58
533,Refi,1.123652805,1202
535,Purchase,1.172631409,4103
535,Purchase,1.19585381,4103
535,Purchase,1.067708626,2926.57
538,Purchase,1.416668976,3095.46
542,Purchase,1.027642773,14527.72
543,Purchase,1.072055746,14527.72
543,Purchase,1.315699758,2414.11
544,Purchase,1.082668547,14527.72
544,Purchase,1.06350559,14527.72
544,Purchase,1.171354044,4534.92
544,Purchase,1.427877778,2381.17
545,Purchase,1.05153757,14527.72
546,Purchase,1.035405556,14527.72
546,Purchase,1.013694024,14527.72
547,Purchase,1.327644647,2414.11
548,Purchase,1.1422,4534.92
548,Refi,1.181271778,706.32
549,Purchase,1.291591642,1004.72
550,Purchase,0.415409955,404.99
551,Purchase,1.268930534,4671.6
551,Purchase,1.073946726,9228.92
551,Purchase,1.170498,7723.68
552,Refi,0.953895294,2261
552,Purchase,1.16606935,7723.68
552,Purchase,0.683136228,906.45
553,Purchase,1.057799057,9228.92
554,Purchase,0.916284806,6339.61
555,Refi,1.411960618,934
555,Purchase,0.996914815,6339.61
557,Purchase,0.984474248,6339.61
557,Refi,1.164472679,400
557,Refi,0.956467281,2261
557,Purchase,1.486719395,2513.21
557,Purchase,0.96120625,6339.61
559,Refi,0.944074074,2261
559,Purchase,1.305730742,4671.6
559,Purchase,1.174882645,7723.68
560,Purchase,1.089613058,9228.92
560,Refi,0.818442023,1038.63
560,Purchase,1.019148673,9228.92
560,Purchase,1.323141667,1728.66
560,Purchase,1.165389419,7723.68
561,Refi,1.168902018,9985.51
561,Refi,1.088535579,3655.22
561,Purchase,0.941702439,506.79
561,Purchase,1.169554318,7661.87
561,Refi,1.094372998,3655.22
562,Purchase,1.321240748,4908.92
562,Refi,0.967843862,699
563,Refi,1.385230321,7915.36
563,Purchase,0.90686326,479.15
563,Purchase,1.030108722,4097.44
564,Refi,1.238071523,5979.43
564,Purchase,1.144590625,7661.87
564,Purchase,1.258475077,436.08
565,Refi,1.081313559,3655.22
565,Refi,1.360526878,7915.36
565,Refi,1.149526852,9985.51
565,Purchase,1.068609982,4097.44
565,Purchase,1.026844218,4097.44
565,Purchase,0.484442308,1394.18
565,Purchase,1.403816173,4908.92
566,Refi,1.134157702,9985.51
566,Purchase,0.563172537,523.55
567,Refi,1.262054601,5979.43
567,Refi,1.356350136,7915.36
567,Refi,1.225183902,5979.43
567,Refi,1.48138401,4153.39
567,Refi,1.239010556,5979.43
568,Refi,1.165728627,9985.51
568,Refi,1.432780198,4153.39
569,Purchase,1.192634343,7661.87
569,Refi,1.359091613,7915.36
569,Refi,1.273332576,5979.43
569,Refi,1.195675092,9985.51
569,Refi,1.121145038,9985.51
570,Refi,1.169166516,9985.51
570,Purchase,1.426415094,4255.48
570,Refi,1.353857175,7915.36
570,Refi,1.337755203,7915.36
570,Refi,1.08438465,3655.22
570,Refi,1.158647516,9985.51
570,Purchase,1.411161798,4255.48
570,Purchase,1.155930051,7661.87
571,Purchase,1.128948995,9859.8
