reviewcontent,score,sentiment
We were very satisfied with our experience.  Very professional group.,1,Positive
"It took a little longer than expected in the beginning, but Tresl pulled through in the end. Aaron was excellent in finding me a lower rate and the perfect terms for me. He was kind and patient, and explained everything to me from start to finish until I was satisfied. I would highly recommend Tresl for an auto loan or to refinance your vehicle!",1,Positive
Nick was very helpful and speedy with expediting my refinance... Dropped my interest rate down from 21.9% to 5.3%... thank you very much for your help...,1,Positive
Steve was very personal and yet extremely professional. He remembered every detail of our transaction as well as details of my personal engagements. He is a great asset to his work and tresl. I don't believe I would have continued my refinance without his guidance and general good nature.,1,Positive
Sarah did an awesome job. Very attentive. Polite. Thanks I will recommend Tresl to anyone!,1,Positive
Bob Dean and Tresl have been great dealing with getting my new vehicle loan Refinanced. Bob has helped me beyond my expectations. I look forward to working with them.,1,Positive
Great job with helping me refinance I'm paying alot less,1,Positive
Robert Bills is a excellent rep...he made my whole transition of refinancing smooth he is also very knowledgeable and friendly I appreciate you -Maurice Thompkins,1,Positive
"Awesome!!!!   Very helpful people they really care about your application process and do their best to make things easy and smooth, my Finance adviser Darin was incredibly helpful and friendly i pretty much enjoined working with him during the process thank you! and the savings on the loan and the monthly payment and the interest are unbelievable.thank you again!",1,Positive
There for all questions and issues. Very Helpful!,1,Positive
Kim helped me and my husband purchase our Mary Kay fleet car.  The process was easy.  The only downside was the amount of paperwork required.,1,Positive
"Excellent, the job and support done by Steve C and Tresl has been very good and Professional.   Roger J Sanchez",1,Positive
Absolutely the best! Thanks a lot for all the help.,1,Positive
Great experience. Very helpful.,1,Positive
Easy process. Outstanding results. Took me from over 11% to under 5. Thank you Tresl!,1,Positive
We bought 3 cars in the past 2 months from Tresl and the experience has been 1st class all the way.,1,Positive
Easiest loan experience of my life. Excellent customer service. Step by step directions. Fast.,1,Positive
I was able to reduce my interest rate by half and save over 100 on my monthly payments. Very helpful. Recommended! Trisha worked above and beyond. Communication was great. Mid6 c.s.,1,Positive
Very on point and speedy at getting things done and calling immediately to help out and get things turned in to keep the process smooth and quick! Explained things very well was a very nice experience for me and doing everything online.,1,Positive
"Tresl did a wonderful job helping me purchase my end of lease Buick from GM Fin.  Mark N. and Caroline P. were knowledgeable, thorough and market informed in arranging my loan, which eventually was placed with Chase Auto.  Terrific job; would highly recommend.",1,Positive
They did everything they said they were gonna do.,1,Positive
The Tresl team has been positive and helpful every step of the way. They were always professional and quick to answer my questions.,1,Positive
"Jason has been great! The only reason I give 4 stars is because of time difference and the fact that I had to work when ever he called. No fault of his. So we worked it out through voice mails, emails and FedEx! Thanks Tresl.",1,Positive
I appreciate the quick and detailed responses from Sara and the other Tresl representatives whenever I had questions or they needed more information from me.,1,Positive
